219	다빈치 코드	2006-05-18	0	3,339,082	S 139
220	슈퍼배드 3	2017-07-26	24,216,987,019	3,324,861	1,057
221	데드풀	2016-02-17	27,595,618,651	3,317,196	1,036
222	시동	2019-12-18	28,098,934,360	3,317,038	1,515
223	슈렉2	2004-06-18	0	3,300,533	S 85
224	아이 캔 스피크	2017-09-21	25,532,214,986	3,280,243	1,140
225	스타워즈: 깨어난 포스	2015-12-17	28,353,796,331	3,273,879	940
226	올드보이	2003-11-21	0	3,269,000	S 45
227	분노의 질주: 더 세븐	2015-04-01	26,454,098,694	3,247,955	983
228	터미네이터 제니시스	2015-07-02	26,556,715,129	3,240,370	1,113
229	그래비티	2013-10-17	31,484,135,600	3,227,452	636
230	우주전쟁	2005-07-07	0	3,223,000	S 123
231	마녀	2018-06-27	27,242,029,463	3,189,091	1,117
232	탐정: 리턴즈	2018-06-13	26,909,459,678	3,152,872	1,041
233	어린 신부	2004-04-02	0	3,149,500	S 50
234	오! 브라더스	2003-09-04	0	3,148,748	S 51
235	장화, 홍련	2003-06-13	0	3,146,217	S 52
236	그놈 목소리	2007-02-01	0	3,143,247	S 110
237	우리들의 행복한 시간	2006-09-14	0	3,132,320	S 118
238	캐리비안의 해적: 낯선 조류	2011-05-19	27,279,967,500	3,130,046	960
239	퀵	2011-07-20	22,960,890,000	3,125,069	512
240	감기	2013-08-14	21,784,202,000	3,119,023	806
241	말죽거리 잔혹사	2004-01-16	0	3,115,767	S 67
242	광복절 특사	2002-11-20	0	3,101,900	S 71
243	나우 유 씨 미 2	2016-07-13	25,116,690,113	3,100,113	1,200
244	마파도	2005-03-10	0	3,090,467	S 58
245	하모니	2010-01-28	21,992,266,198	3,068,544	405
246	거북이 달린다	2009-06-11	20,857,347,292	3,059,812	379
247	너는 내 운명	2005-09-23	0	3,051,134	S 92
248	캐리비안의 해적: 죽은 자는 말이 없다	2017-05-24	24,975,495,122	3,049,894	1,357
249	스물	2015-03-25	23,558,988,686	3,044,134	926
250	토르: 다크 월드	2013-10-30	22,525,808,500	3,039,889	733
251	식객	2007-11-01	0	3,038,868	S 88
252	방자전	2010-06-02	22,853,629,794	3,035,116	512
253	인크레더블 2	2018-07-18	24,554,683,588	3,033,052	1,605
254	하울의 움직이는 성	2004-12-23	0	3,015,165	S 65
255	마더	2009-05-28	20,195,373,838	3,013,523	648
256	오싹한 연애	2011-12-01	22,010,977,000	3,009,356	469
257	투모로우	2004-06-03	0	3,006,400	S 67
258	레드: 더 레전드	2013-07-18	21,511,358,970	3,004,647	739
259	해리 포터와 혼혈 왕자	2009-07-15	20,580,402,431	3,002,669	751
260	드래곤 길들이기 2	2014-07-23	23,979,935,189	3,000,056	829
261	형	2016-11-23	23,129,111,893	2,982,022	993
262	황금 나침반	2007-12-18		2,979,838	S 110
263	친구 2	2013-11-14	21,804,687,513	2,971,475	968
264	26년	2012-11-29	21,241,327,145	2,963,449	604
265	워낭소리	2009-01-15	19,259,975,032	2,962,897	20
266	서치	2018-08-29	25,283,364,845	2,949,944	816
267	고지전	2011-07-20	21,968,557,600	2,945,137	585
268	엑스맨: 아포칼립스	2016-05-25	24,467,887,950	2,938,818	1,262
269	프리즌	2017-03-23	23,790,276,987	2,931,897	1,047
270	300	2007-03-14	0	2,929,400	S 102
271	가장 보통의 연애	2019-10-02	24,885,803,430	2,924,563	1,073
272	솔트	2010-07-29	21,719,123,025	2,921,331	556
273	헬로우 고스트	2010
